idmatch;expert;pronostic
28032014-ligue1-nice-paris;bob;2
28032014-ligue1-nice-paris;alice;2
28032014-ligue1-nice-paris;bernadette;2
28032014-ligue1-nice-paris;john;2
28032014-ligue1-nice-paris;pablo;2
29032014-ligue1-sochaux-marseille;bob;1
29032014-ligue1-sochaux-marseille;alice;1
29032014-ligue1-sochaux-marseille;bernadette;N
29032014-ligue1-sochaux-marseille;john;N
29032014-ligue1-sochaux-marseille;pablo;N
29032014-ligue1-ajaccio-toulouse;bob;2
29032014-ligue1-ajaccio-toulouse;alice;2
29032014-ligue1-ajaccio-toulouse;bernadette;2
29032014-ligue1-ajaccio-toulouse;john;2
29032014-ligue1-ajaccio-toulouse;pablo;2
29032014-ligue1-evian-monaco;bob;2
29032014-ligue1-evian-monaco;alice;N
29032014-ligue1-evian-monaco;bernadette;N
29032014-ligue1-evian-monaco;john;2
29032014-ligue1-evian-monaco;pablo;N
29032014-ligue1-montpellier-valenciennes;bob;1
29032014-ligue1-montpellier-valenciennes;alice;1
29032014-ligue1-montpellier-valenciennes;bernadette;1
29032014-ligue1-montpellier-valenciennes;john;1
29032014-ligue1-montpellier-valenciennes;pablo;1
29032014-ligue1-nantes-bordeaux;bob;2
29032014-ligue1-nantes-bordeaux;alice;N
29032014-ligue1-nantes-bordeaux;bernadette;N
29032014-ligue1-nantes-bordeaux;john;N
29032014-ligue1-nantes-bordeaux;pablo;N
30032014-ligue1-reims-lorient;bob;1
30032014-ligue1-reims-lorient;alice;N
30032014-ligue1-reims-lorient;bernadette;1
30032014-ligue1-reims-lorient;john;1
30032014-ligue1-reims-lorient;pablo;1
30032014-ligue1-rennes-bastia;bob;1
30032014-ligue1-rennes-bastia;alice;1
30032014-ligue1-rennes-bastia;bernadette;1
30032014-ligue1-rennes-bastia;john;1
30032014-ligue1-rennes-bastia;pablo;1
30032014-ligue1-lille-guingamp;bob;1
30032014-ligue1-lille-guingamp;alice;1
30032014-ligue1-lille-guingamp;bernadette;1
30032014-ligue1-lille-guingamp;john;1
30032014-ligue1-lille-guingamp;pablo;1
30032014-ligue1-lyon-stetienne;bob;1
30032014-ligue1-lyon-stetienne;alice;N
30032014-ligue1-lyon-stetienne;bernadette;N
30032014-ligue1-lyon-stetienne;john;2
30032014-ligue1-lyon-stetienne;pablo;1
01042014-c1-manutd-bayern;bob;2
01042014-c1-manutd-bayern;pablo;2
01042014-c1-manutd-bayern;bernadette;2
01042014-c1-manutd-bayern;alice;N
01042014-c1-manutd-bayern;john;2
01042014-c1-barcelone-atletico;bob;1
01042014-c1-barcelone-atletico;pablo;1
01042014-c1-barcelone-atletico;bernadette;1
01042014-c1-barcelone-atletico;alice;1
01042014-c1-barcelone-atletico;john;1
02042014-c1-paris-chelsea;bob;1
02042014-c1-paris-chelsea;pablo;1
02042014-c1-paris-chelsea;bernadette;1
02042014-c1-paris-chelsea;alice;1
02042014-c1-paris-chelsea;john;N
02042014-c1-real-dortmund;bob;1
02042014-c1-real-dortmund;pablo;1
02042014-c1-real-dortmund;bernadette;1
02042014-c1-real-dortmund;alice;1
02042014-c1-real-dortmund;john;1
03042014-c3-lyon-juventus;bob;2
03042014-c3-lyon-juventus;pablo;N
03042014-c3-lyon-juventus;bernadette;2
03042014-c3-lyon-juventus;alice;2
03042014-c3-lyon-juventus;john;N
03042014-c3-porto-seville;bob;1
03042014-c3-porto-seville;pablo;1
03042014-c3-porto-seville;bernadette;1
03042014-c3-porto-seville;alice;1
03042014-c3-porto-seville;john;N
